NIFTY 50 - HISTORICAL P/E, P/B AND DIVIDEND YIELD
==================================================================
Source       : nifty-pe-ratio.com (nifty-public.json)
               mirrors NSE-published index valuation figures
Cross-check  : 26 dates overlap the NSE archive (archives.nseindia.com)
               max |P/E difference| = 0.000
Granularity  : weekly
Range        : 1999-01-06 .. 2026-09-07  (1445 points)
Generated    : 2026-09-08T17:38:14+05:30

!! LEVEL BREAK - READ BEFORE COMPARING ACROSS DATES
NSE switched Nifty P/E from STANDALONE to CONSOLIDATED earnings on
31-Mar-2021. Values either side of that date are not on the same
basis. A pre-2021 reading is not directly comparable to a later one.

CURRENT      : P/E 20.10   P/B 2.88   Div yield 1.19%
P/E RANGE    : min 11.00   p25 17.98   median 20.92   p75 23.08   max 41.81

DATE              P/E      P/B     DIV%        CLOSE
------------------------------------------------------------------
1999-01-06      12.11     2.16     1.75       928.25
1999-01-13      12.54     2.23     1.69       961.20
1999-01-19      12.06     2.15     1.76       924.10
1999-01-27      12.90     2.29     1.65       971.30
1999-02-03      12.64     2.25     1.69       952.40
1999-02-10      12.74     2.27     1.67       959.45
1999-02-17      12.87     2.29     1.64       969.05
1999-02-24      12.72     2.26     1.66       957.65
1999-03-03      13.98     2.49     1.49      1051.85
1999-03-10      14.35     2.55     1.46      1078.85
1999-03-17      14.10     2.51     1.51      1060.65
1999-03-24      14.13     2.51     1.51      1062.80
1999-03-31      16.53     2.84     1.48      1078.05
1999-04-07      15.81     2.72     1.54      1031.05
1999-04-13      15.25     2.62     1.59       994.25
1999-04-21      15.31     2.63     1.45       996.65
1999-04-28      14.49     2.49     1.52       943.50
1999-05-05      15.73     2.69     1.35      1019.55
1999-05-12      17.14     2.93     1.24      1110.90
1999-05-19      18.22     3.12     1.05      1180.25
1999-05-26      18.28     3.10     1.30      1135.50
1999-06-02      18.27     3.05     1.24      1125.15
1999-06-09      17.58     3.05     1.20      1163.20
1999-06-16      17.35     3.01     1.22      1148.15
1999-06-23      18.03     3.12     0.97      1193.15
1999-06-30      17.91     3.11     1.22      1187.70
1999-07-07      18.75     3.26     1.20      1243.70
1999-07-14      20.18     3.50     1.18      1335.15
1999-07-21      20.26     3.52     1.14      1340.15
1999-07-28      20.09     3.49     1.07      1320.10
1999-08-04      20.18     3.50     1.07      1326.40
1999-08-11      19.92     3.45     1.10      1315.30
1999-08-18      20.64     3.58     1.06      1363.35
1999-08-25      20.79     3.60     1.09      1371.65
1999-09-01      21.38     3.71     1.06      1410.70
1999-09-08      21.73     3.87     1.04      1399.50
1999-09-15      21.34     3.80     1.06      1374.70
1999-09-22      21.51     3.84     1.06      1386.45
1999-09-29      21.99     3.92     1.04      1415.30
1999-10-06      21.73     3.88     1.10      1392.70
1999-10-13      23.35     4.17     1.02      1496.30
1999-10-20      23.01     4.11     1.03      1477.65
1999-10-27      21.99     3.92     1.08      1411.40
1999-11-03      20.66     3.69     1.17      1326.40
1999-11-10      21.64     3.86     1.12      1389.10
1999-11-17      21.10     3.77     1.15      1352.25
1999-11-24      21.76     3.89     1.12      1394.95
1999-12-01      21.69     3.87     1.12      1388.75
1999-12-08      23.41     4.18     1.04      1438.65
1999-12-15      22.80     4.07     1.08      1401.40
1999-12-22      24.11     4.30     1.02      1481.70
1999-12-29      24.02     4.29     1.03      1476.35
2000-01-05      25.97     4.64     0.95      1595.80
2000-01-12      26.44     4.72     0.93      1624.80
2000-01-19      26.60     4.75     0.93      1634.85
2000-01-25      25.81     4.61     0.95      1586.40
2000-02-02      25.75     4.62     0.95      1588.00
2000-02-09      27.40     4.91     0.93      1689.65
2000-02-16      27.32     4.95     0.92      1711.10
2000-02-23      27.09     4.91     0.92      1696.40
2000-03-01      27.35     4.96     0.91      1712.70
2000-03-08      26.64     4.83     1.03      1666.35
2000-03-15      25.90     4.70     1.06      1620.10
2000-03-22      25.41     4.61     1.03      1589.60
2000-03-29      25.08     4.55     1.04      1558.25
2000-04-05      23.09     4.19     1.51      1434.65
2000-04-12      25.21     4.62     1.47      1592.70
2000-04-19      21.07     3.80     1.73      1404.95
2000-04-26      21.54     3.89     1.73      1436.10
2000-05-03      19.74     3.56     1.91      1316.05
2000-05-10      20.57     3.71     1.74      1363.15
2000-05-17      19.88     3.70     1.79      1311.65
2000-05-24      20.69     4.09     1.80      1235.90
2000-05-31      22.96     4.70     1.43      1380.45
2000-06-07      23.70     4.78     1.39      1430.35
2000-06-14      23.79     4.77     1.38      1435.50
2000-06-21      24.45     4.91     1.29      1475.15
2000-06-28      22.91     4.88     1.27      1470.00
2000-07-05      23.50     4.86     1.11      1526.05
2000-07-12      23.61     4.88     1.07      1533.35
2000-07-19      22.11     4.57     1.09      1435.80
2000-07-26      20.48     4.25     1.19      1318.25
2000-08-02      20.66     4.31     1.18      1331.90
2000-08-09      20.86     4.35     1.18      1344.95
2000-08-16      20.35     4.28     1.16      1351.45
2000-08-23      20.87     4.39     1.13      1386.05
2000-08-30      20.70     4.36     1.08      1375.95
2000-09-06      21.81     4.69     1.12      1435.35
2000-09-13      22.13     4.75     1.10      1456.15
