# FII/DII daily, March-August 2026, transcribed from Sensibull's FII History
# table (web.sensibull.com/fii-dii-data/history). The API only serves a rolling
# ~23-day window; these months are reachable in the UI but not through any
# endpoint shape that could be found, so they are seeded from the rendered
# table instead.
#
# date|call_oi_chg|put_oi_chg|fut_amt_cr|fut_oi_chg|fut_oi|fii_cash_cr|dii_cash_cr
# "L" suffix = lakh (x100000), as the table prints it.
2026-08-31|4558|-42953|-1037|-6682|-2.09L|-7986|4589
2026-08-28|35836|-32000|-774|-4841|-2.03L|-5040|5184
2026-08-27|-29971|70609|-1871|-11732|-1.98L|-298|4977
2026-08-26|-37455|6315|-258|-1833|-1.86L|503|6425
2026-08-25|1250|-32522|-1550|35156|-1.84L|1594|230
2026-08-24|18433|1.14L|-1565|-9528|-2.19L|1182|2493
2026-08-21|15680|-10969|364|2258|-2.1L|-543|2124
2026-08-20|79793|-92708|-363|-2306|-2.12L|-583|3538
2026-08-19|-81925|-39456|-2493|-15649|-2.1L|408|3974
2026-08-18|-3136|1.09L|-2029|-12571|-1.94L|1652|2579
2026-08-17|48120|5279|-785|-4889|-1.82L|-2535|5101
2026-08-14|12196|23060|-1315|-7996|-1.77L|508|356
2026-08-13|-57902|-25621|-570|-3533|-1.69L|-511|4353
2026-08-12|-33360|14593|-1384|-9038|-1.65L|-1003|5842
2026-08-11|2357|55352|-647|-3968|-1.56L|259|25
2026-08-10|13095|15380|-354|-2105|-1.52L|1975|-1290
2026-08-07|-49986|26785|-818|-4940|-1.5L|480|236
2026-08-06|65546|-73545|2254|13785|-1.45L|-18|4014
2026-08-05|-63594|-24556|-823|-5130|-1.59L|-943|2883
2026-08-04|-36467|52333|-500|-2957|-1.54L|2446|-936
2026-08-03|55995|-20375|3618|22297|-1.51L|922|1571
2026-07-31|-8240|13045|2150|13499|-1.73L|277|2260
2026-07-30|-18072|-36451|1300|8206|-1.87L|3624|-1864
2026-07-29|89334|-44724|1711|10783|-1.95L|2982|998
2026-07-28|-22009|39851|-2601|61324|-2.06L|755|1664
2026-07-27|33272|-53129|626|3922|-2.67L|-1688|2329
2026-07-24|55677|-11350|-1202|-7765|-2.71L|-3893|5454
2026-07-23|-65514|2120|-1840|-11378|-2.63L|-2999|2947
2026-07-22|-78918|35481|-3607|-22857|-2.52L|-819|-418
2026-07-21|-20198|98394|-1487|-9024|-2.29L|1650|-657
2026-07-20|-80446|12674|-632|-3295|-2.2L|-1121|1312
2026-07-17|1.49L|-90312|5393|33358|-2.17L|-376|1018
2026-07-16|10511|-12757|1994|12826|-2.5L|-4206|2986
2026-07-15|-50260|2604|441|2753|-2.63L|-736|705
2026-07-14|-2960|44165|-1736|-10352|-2.65L|-740|2928
2026-07-13|42437|-24399|-76|-402|-2.55L|-3062|2172
2026-07-10|37617|-45667|1911|11540|-2.55L|2604|2020
2026-07-09|26923|-22439|381|2335|-2.66L|-533|2058
2026-07-08|-94630|1.03L|-4807|-29748|-2.69L|1963|790
2026-07-07|132|-13244|391|2441|-2.39L|393|-383
2026-07-06|44820|-20148|1539|9488|-2.41L|243|3791
2026-07-03|-8573|35133|934|6133|-2.51L|1355|-1954
2026-07-02|24220|-63742|472|3159|-2.57L|-312|1784
2026-07-01|-16022|-26752|-586|-3649|-2.6L|-1141|3159
2026-06-30|12274|-83684|-6812|-21959|-2.56L|-2557|6842
2026-06-29|14540|19574|-1800|-10642|-2.34L|-1350|2801
2026-06-25|30853|-6764|811|5244|-2.24L|384|5748
2026-06-24|-15772|-68846|-46|-492|-2.29L|-1843|3637
2026-06-23|20489|25514|-937|-5777|-2.29L|18|680
2026-06-22|4838|17052|598|3639|-2.23L|-636|1036
2026-06-19|-59641|67027|-792|-4947|-2.26L|4859|-1160
2026-06-18|22372|15189|508|3212|-2.21L|-1025|3517
2026-06-17|-31029|-3814|748|4912|-2.25L|102|1561
2026-06-16|20305|6102|1783|11641|-2.3L|-749|0
2026-06-15|-43307|2574|329|2382|-2.41L|200|3189
2026-06-12|84905|4773|3603|23360|-2.44L|-1082|5341
2026-06-11|-16498|6852|781|4996|-2.67L|-1987|4225
2026-06-10|-10957|3929|796|5022|-2.72L|-2125|3124
2026-06-09|27466|-22377|186|613|-2.77L|-4566|6159
2026-06-08|-17877|19207|-1515|-9908|-2.78L|-5556|5165
2026-06-05|-2071|13362|-471|-3138|-2.68L|-8776|9134
2026-06-04|-22643|-21138|-798|-5315|-2.65L|-4447|4360
2026-06-03|28438|42902|-4420|-29157|-2.59L|-5617|5741
2026-06-02|-26096|1056|-1041|-6916|-2.3L|-8363|9589
2026-06-01|16937|32360|-3407|-21871|-2.23L|-3912|5109
2026-05-29|-63455|24276|-5999|-38297|-2.01L|-21106|16764
2026-05-27|-6814|2668|-1592|-10147|-1.63L|-1043|3821
2026-05-26|-1.57L|79284|-3264|62112|-1.53L|-2408|1361
2026-05-25|1.18L|-38503|1595|10015|-2.15L|822|3857
2026-05-22|94113|-20486|989|6198|-2.25L|-4440|6004
2026-05-21|-33906|35976|-1349|-8670|-2.31L|-1891|2492
2026-05-20|-16822|-49332|-965|-6240|-2.23L|-1597|1968
2026-05-19|9032|24639|-999|-6414|-2.16L|-2457|3802
2026-05-18|42153|11923|1002|6641|-2.1L|2814|2682
2026-05-15|-24471|11612|1393|9104|-2.17L|1329|-1959
2026-05-14|21964|-64419|1913|12263|-2.26L|187|684
2026-05-13|-4009|-31901|-128|-730|-2.38L|-4703|5869
2026-05-12|48754|63354|-2508|-16175|-2.37L|-1959|7990
2026-05-11|-48623|26642|-1685|-10857|-2.21L|-8438|5940
2026-05-08|6766|7767|-2278|-14164|-2.1L|-4111|6748
2026-05-07|-66480|21783|-177|-1353|-1.96L|-341|441
